'Polynomials.power_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.monomial_append' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.repeated_name_adds_degree' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.evaluate_append' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.merge_coefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.remove_zero_coefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.evaluate_multiplyTerm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.evaluate_multiply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.monomial_rename' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.evaluate_power' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.evaluate_substituteMonomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.evaluate_substitute' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.two_draws_normalize' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.discard_fresh_draw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.shared_bias_evidence' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.conditional_fairness' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.fair_filter_has_endpoint_failures' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.unrelated_biases_are_not_fair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.copy_and_two_draws_differ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.beta_successor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.shared_prior_second_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.separate_prior_second_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Polynomials.shared_prior_is_not_two_allocations' depends on axioms: [propext, Classical.choice, Quot.sound]
