'Revisions.sum_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sum_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sum_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sum_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sum_div' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.impossible_likelihood' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.pearl_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.likelihood_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sequential_normalizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sequential_likelihood' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.repeated_event' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.zero_mass_still_possible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.zero_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.jeffrey_cell' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.jeffrey_within_cell' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.jeffrey_idempotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.expectation_numerator_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.zero_evidence_not_zero_expectation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.signed_expectation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.posterior_is_not_likelihood' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.positive_target_on_zero_prior' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.overlapping_jeffrey_noncommutes' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sum_swap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sum_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.sum_pick' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.pearl_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.partition_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.jeffrey_normalized' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.jeffrey_nonnegative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Revisions.signed_cell_contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
