query	phase	alloc_calls	dealloc_calls	realloc_calls	bytes_allocated	bytes_deallocated	net_bytes	current_live_bytes	peak_live_bytes	pct_alloc_calls	pct_bytes_allocated
job_broad_cast_keyword_company	total	32806517	32805050	3766	2596590703	1611823071	984767632	984767632	986141983	100.0	100.0
job_broad_cast_keyword_company	validate_inputs	13	13	4	1490	1490	0	0	0	0.0	0.0
job_broad_cast_keyword_company	normalize	107	20	7	8876	3592	5284	5284	5284	0.0	0.0
job_broad_cast_keyword_company	encode_inputs	18	18	5	3326	3326	0	0	0	0.0	0.0
job_broad_cast_keyword_company	query_image	32721565	32720815	1817	2591326860	1606612770	984714090	984714090	984724370	99.741	99.797
job_broad_cast_keyword_company	plan	27427	26803	1905	3615473	3567556	47917	47917	227143	0.084	0.139
job_broad_cast_keyword_company	lftj_build	0	0	0	0	0	0	0	0	0.0	0.0
job_broad_cast_keyword_company	hash_index	0	0	0	0	0	0	0	0	0.0	0.0
job_broad_cast_keyword_company	execute	57325	57322	5	1618952	1611344	7608	7608	1374552	0.175	0.062
job_broad_cast_keyword_company	lftj_execute	0	0	0	0	0	0	0	0	0.0	0.0
job_broad_cast_keyword_company	hash_execute	0	0	0	0	0	0	0	0	0.0	0.0
job_broad_cast_keyword_company	sink_finish	33	36	9	5040	12484	-7444	0	0	0.0	0.0
job_broad_movie_info_star	total	53301	52741	1727	2493228	2456337	36891	36891	36891	100.0	100.0
job_broad_movie_info_star	validate_inputs	13	13	4	1490	1490	0	0	0	0.024	0.06
job_broad_movie_info_star	normalize	116	20	8	10980	4040	6940	6940	6940	0.218	0.44
job_broad_movie_info_star	encode_inputs	18	18	5	3326	3326	0	0	0	0.034	0.133
job_broad_movie_info_star	query_image	14	14	14	24004	24004	0	0	0	0.026	0.963
job_broad_movie_info_star	plan	17350	16892	1666	1595918	1566308	29610	29610	29610	32.551	64.01
job_broad_movie_info_star	lftj_build	0	0	0	0	0	0	0	0	0.0	0.0
job_broad_movie_info_star	hash_index	0	0	0	0	0	0	0	0	0.0	0.0
job_broad_movie_info_star	execute	35728	35725	6	834104	826496	7608	7608	7608	67.031	33.455
job_broad_movie_info_star	lftj_execute	0	0	0	0	0	0	0	0	0.0	0.0
