exec_seq	query	run_index	kind	busy_us	idle_us	line_no
0	job_broad_cast_keyword_company	0	prepare	923000.0	9.46	91211883
1	job_broad_cast_keyword_company	1	warmup	17400.0	6.21	91211905
2	job_broad_cast_keyword_company	2	warmup	16800.0	4.42	91211927
3	job_broad_cast_keyword_company	3	sample	16800.0	9.5	91211949
4	job_broad_cast_keyword_company	4	sample	16000.0	8.75	91211971
5	job_broad_cast_keyword_company	5	sample	16100.0	4.08	91211993
6	job_broad_cast_keyword_company	6	sample	16200.0	4.25	91212015
7	job_broad_cast_keyword_company	7	sample	16000.0	5.46	91212037
8	job_broad_cast_keyword_company	8	sample	16000.0	4.79	91212059
9	job_broad_cast_keyword_company	9	sample	16000.0	4.37	91212081
10	job_broad_cast_keyword_company	10	sample	16000.0	5.54	91212103
11	job_broad_cast_keyword_company	11	sample	15900.0	4.5	91212125
12	job_broad_cast_keyword_company	12	sample	16100.0	4.83	91212147
13	job_broad_cast_keyword_company	13	sample	15900.0	5.17	91212169
14	job_broad_cast_keyword_company	14	sample	15900.0	3.96	91212191
15	job_broad_cast_keyword_company	15	sample	16600.0	3.92	91212213
16	job_broad_cast_keyword_company	16	sample	17100.0	4.92	91212235
17	job_broad_cast_keyword_company	17	sample	16400.0	4.42	91212257
18	job_broad_cast_keyword_company	18	sample	16000.0	5.17	91212279
19	job_broad_cast_keyword_company	19	sample	15800.0	4.33	91212301
20	job_broad_cast_keyword_company	20	sample	16700.0	4.42	91212323
21	job_broad_cast_keyword_company	21	sample	15700.0	4.42	91212345
22	job_broad_cast_keyword_company	22	sample	15600.0	4.25	91212367
23	job_broad_cast_keyword_company	23	sample	15700.0	4.21	91212389
24	job_broad_cast_keyword_company	24	sample	15700.0	4.17	91212411
25	job_broad_cast_keyword_company	25	sample	16100.0	4.58	91212433
26	job_broad_cast_keyword_company	26	sample	17000.0	5.75	91212455
27	job_broad_cast_keyword_company	27	sample	16000.0	4.08	91212477
28	job_broad_cast_keyword_company	28	sample	16000.0	4.04	91212499
29	job_broad_cast_keyword_company	29	sample	15800.0	4.21	91212521
30	job_broad_cast_keyword_company	30	sample	15800.0	4.0	91212543
31	job_broad_cast_keyword_company	31	sample	15600.0	4.0	91212565
32	job_broad_cast_keyword_company	32	sample	15500.0	3.96	91212587
33	job_broad_movie_info_star	0	prepare	12800.0	8.21	91212625
34	job_broad_movie_info_star	1	warmup	11200.0	12.1	91212647
35	job_broad_movie_info_star	2	warmup	10900.0	5.04	91212669
36	job_broad_movie_info_star	3	sample	11000.0	15.6	91212691
37	job_broad_movie_info_star	4	sample	10500.0	5.46	91212713
38	job_broad_movie_info_star	5	sample	10400.0	4.62	91212735
39	job_broad_movie_info_star	6	sample	10200.0	4.79	91212757
40	job_broad_movie_info_star	7	sample	10500.0	5.38	91212779
41	job_broad_movie_info_star	8	sample	10500.0	5.71	91212801
42	job_broad_movie_info_star	9	sample	10300.0	4.21	91212823
43	job_broad_movie_info_star	10	sample	10200.0	5.08	91212845
44	job_broad_movie_info_star	11	sample	10400.0	4.67	91212867
45	job_broad_movie_info_star	12	sample	10100.0	4.75	91212889
46	job_broad_movie_info_star	13	sample	10300.0	6.88	91212911
47	job_broad_movie_info_star	14	sample	10200.0	4.25	91212933
48	job_broad_movie_info_star	15	sample	10400.0	3.88	91212955
49	job_broad_movie_info_star	16	sample	9990.0	4.17	91212977
50	job_broad_movie_info_star	17	sample	10100.0	4.29	91212999
51	job_broad_movie_info_star	18	sample	9940.0	4.04	91213021
52	job_broad_movie_info_star	19	sample	10200.0	5.75	91213043
53	job_broad_movie_info_star	20	sample	10100.0	4.0	91213065
54	job_broad_movie_info_star	21	sample	10400.0	3.96	91213087
55	job_broad_movie_info_star	22	sample	11600.0	5.21	91213109
56	job_broad_movie_info_star	23	sample	10700.0	4.42	91213131
57	job_broad_movie_info_star	24	sample	10100.0	4.42	91213153
58	job_broad_movie_info_star	25	sample	10600.0	4.25	91213175
59	job_broad_movie_info_star	26	sample	10000.0	4.96	91213197
60	job_broad_movie_info_star	27	sample	10300.0	4.38	91213219
61	job_broad_movie_info_star	28	sample	10200.0	4.67	91213241
62	job_broad_movie_info_star	29	sample	10500.0	4.62	91213263
63	job_broad_movie_info_star	30	sample	10100.0	4.42	91213285
64	job_broad_movie_info_star	31	sample	10200.0	4.12	91213307
65	job_broad_movie_info_star	32	sample	10200.0	4.46	91213329
66	job_q01_top_production	0	prepare	3400.0	9.46	91213350
67	job_q01_top_production	1	warmup	94.9	9.08	91213362
68	job_q01_top_production	2	warmup	61.1	4.29	91213374
69	job_q01_top_production	3	sample	86.5	5.21	91213386
70	job_q01_top_production	4	sample	64.2	4.25	91213398
71	job_q01_top_production	5	sample	59.1	4.21	91213410
72	job_q01_top_production	6	sample	60.1	4.0	91213422
73	job_q01_top_production	7	sample	77.6	7.21	91213434
74	job_q01_top_production	8	sample	56.9	9.75	91213446
75	job_q01_top_production	9	sample	58.8	4.0	91213458
76	job_q01_top_production	10	sample	65.3	6.42	91213470
77	job_q01_top_production	11	sample	82.9	10.4	91213482
78	job_q01_top_production	12	sample	63.4	5.25	91213494
