query	span_key	span	relation	target	count	busy_us	idle_us	pct_of_query_execute_busy	avg_busy_us
job_broad_cast_keyword_company	bumbledb.query.execute	bumbledb.query.execute		bumbledb_lmdb::query	33	1439200.0	164.14	100.0	43612.121
job_broad_cast_keyword_company	bumbledb.query.image	bumbledb.query.image		bumbledb_lmdb::query	33	899421.12	143.28	62.495	27255.185
job_broad_cast_keyword_company	bumbledb.query_image.build	bumbledb.query_image.build		bumbledb_lmdb::query_image	1	899000.0	5.75	62.465	899000.0
job_broad_cast_keyword_company	bumbledb.query.free_join.dispatch	bumbledb.query.free_join.dispatch		bumbledb_lmdb::query	33	527500.0	146.16	36.652	15984.848
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=CharName]	bumbledb.query_image.relation	CharName	bumbledb_lmdb::query_image	1	320000.0	5.46	22.235	320000.0
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=Name]	bumbledb.query_image.relation	Name	bumbledb_lmdb::query_image	1	216000.0	11.0	15.008	216000.0
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=PersonInfo]	bumbledb.query_image.relation	PersonInfo	bumbledb_lmdb::query_image	1	129000.0	5.33	8.963	129000.0
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=CastInfo]	bumbledb.query_image.relation	CastInfo	bumbledb_lmdb::query_image	1	54900.0	7.62	3.815	54900.0
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=MovieInfo]	bumbledb.query_image.relation	MovieInfo	bumbledb_lmdb::query_image	1	41900.0	6.38	2.911	41900.0
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=AkaName]	bumbledb.query_image.relation	AkaName	bumbledb_lmdb::query_image	1	41100.0	7.88	2.856	41100.0
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=CompanyName]	bumbledb.query_image.relation	CompanyName	bumbledb_lmdb::query_image	1	37100.0	5.17	2.578	37100.0
job_broad_cast_keyword_company	bumbledb.query_image.relation[relation=Title]	bumbledb.query_image.relation	Title	bumbledb_lmdb::query_image	1	29000.0	13.3	2.015	29000.0
